"","age","total.working.exp","current.exp","base_salary","compensation","General.Question","Work.life.Balance_1","Work.life.Balance_2","Heavy.Workload_1","Heavy.Workload_2","Management_1","Management_2","quit_1","women.senior_1","women.senior_2","women.senior_3","women.senior_4","role.model_1","market.value_1","Salary.Negotiation_1","Salary.Negotiation_2","Salary.Negotiation_3","gender","level","review","feedback","combined_company","combined_location","standard_race","standard_edu","num_level","coded_general","competitive","comfortable","wlb","workload","manage","negotiation","logged_base","logged_compensation"
"29",31,4,4,78000,5000,2,-1,-2,-2,2,1,1,1,2,2,2,2,1,2,2,2,2,"Male","Manager or higher","Working as a software engineer it<U+00A1><U+00AF>s good money for not hard work","","unknown","unknown","White","HS grad",3,0,0,0,-1.5,0,1,2,11.2644769261024,8.5173931714189
"30",58,20,17,46000,2000,2,-2,-2,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,"Female","Junior","It's exciting","","unknown","unknown","White","Non-BA education",1,0,0,0,-2,0,1,1,10.7364184143654,7.60140233458373
"31",70,20,18,80000,10000,2,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,"Male","Manager or higher","It's been rewarding ","None ","Stone and Webster ","Homestead ","White","BA",3,0,0,0,-1,1,0,0.333333333333333,11.2897944135779,9.21044036697652
"32",46,1,1,50000,50000,2,-1,-1,1,2,2,-2,1,-1,2,1,1,1,2,2,-1,1,"Female","Junior","So far so good","None","unknown","unknown","White","Non-BA education",1,0,2,-1,-1,1.5,0,0.666666666666667,10.8197982842103,10.8197982842103
"33",45,2,1,72000,5000,2,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,"Male","Manager or higher","It's a great career. Lots of opportunities to advance and great work/life balance ","N/a","unknown","Ohio","White","BA",3,0,0,0,-1,0,0,0.333333333333333,11.1844352867906,8.5173931714189
"34",23,3,3,10000,2000,1,2,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,"Female","Senior","It<U+00A1><U+00AF>s a entertaining English movie ","No","unknown","unknown","White","MA or higher",2,1,0,0,1.5,0,1,1,9.21044036697652,7.60140233458373
"35",36,1,1,68000,71000,2,-1,1,1,-1,-1,1,-1,1,2,2,2,1,1,1,-1,1,"Female","Junior","It's like any other workplace .... its either a awesome well balanced team that's bedimrs like family & enjoy the job or its drama and petty games where you dread going in. ","","unknown","Somerset ky","White","HS grad",1,0,1,0,0,0,0,0.333333333333333,11.1272776899325,11.1704492404313
"36",46,1,1,35299,15259,2,1,1,-1,1,1,-1,1,1,1,1,1,-1,2,1,1,2,"Female","Manager or higher","i love it","","unknown","unknown","White","HS grad",3,0,0,0,1,0,0,1.33333333333333,10.4716382429214,9.63299030483845
"37",51,13,12,93000,6000,2,-1,-2,1,1,2,2,2,-1,1,-1,1,-1,1,1,1,2,"Female","Senior","Love the job. A very interesting job"," None","unknown","Columbus ihio","White","HS grad",2,0,0,0,-1.5,1,2,1.33333333333333,11.4403655247658,8.69968140098951
"38",30,10,5,29000,2000,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,-2,1,"Female","Manager or higher","It<U+00A1><U+00AF>s kinda hard. ","","unknown","unknown","White","HS grad",3,0,0,0,1.5,1.5,1,0.333333333333333,10.2750855911327,7.60140233458373
"39",48,21,21,30000,10000,2,2,2,-1,2,2,2,2,2,1,2,1,2,1,2,1,1,"Female","Junior","I believe it is a good well paying job ","No additional comments ","Musd","Arizona ","White","HS grad",1,0,0,0,2,0.5,2,1.33333333333333,10.3089859934221,9.21044036697652
"40",68,18,9,85000,1e+05,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,"Female","Senior","There is often unhealthy competition and some people are jealous of another person<U+00A1><U+00AF>s ability to <U+00A1><U+00B0>best them<U+00A1><U+00B1> in some way.  This can be disruptive of the department<U+00A1><U+00AF>s goals.  It<U+00A1><U+00AF>s a rare supervisor/team leader who can keep workers doing their jobs without worry or stress.","I<U+00A1><U+00AF>ve never worked in such an environment.  ","unknown","unknown","White","MA or higher",2,1,0,0,-1,1,0,1,11.3504183001091,11.5129354649202
"41",41,13,8,90000,30000,2,2,1,2,2,2,-1,1,1,1,2,1,1,2,1,2,2,"Male","Manager or higher","Working as a software engineer has greatly improved my analytical thinking and collaboration ability, and my daily work is constantly looking for innovative and appropriate solutions","","unknown","Monterey","White","Non-BA education",3,0,1,0,1.5,2,0.5,1.66666666666667,11.4075760603618,10.3089859934221
"42",69,15,13,85000,32000,1,1,1,1,1,-1,1,-1,1,1,2,-1,2,2,-1,1,1,"Male","Senior","It a very stressful job with a lot of competition, keeping up with the new trends can make work even harder and you have to spend time at home to study, makes life very stressful ","This survey really made me think outside of the box, ","Microsoft ","Phoenix ","White","Non-BA education",2,1,1,-2,1,1,0,0.333333333333333,11.3504183001091,10.3735224312936
"43",39,17,17,110000,8000,2,2,1,1,2,2,-2,2,2,2,2,-1,1,2,2,-1,1,"Female","Manager or higher","It's my dream job. I'll do it till I retire","Nothing to say. Thank you","Microsoft","Indianapolis ","White","BA",3,0,0,-3,1.5,1.5,0,0.666666666666667,11.6082447356423,8.98732181285012
"44",44,25,15,80000,20000,2,-2,-2,-2,2,2,-2,2,2,2,-2,2,-2,2,2,2,2,"Male","Senior","it gives me the freedom to be my own boss and to beable to create and help my company get to where it wants to be going to.","would like to take the time to get to know the study more closlyand from differnt sides.","unknown","Peoria ","Underrepresented Racial Groups","MA or higher",2,0,-4,0,-2,0,0,2,11.2897944135779,9.90353755128617
"45",50,14,11,118000,15500,2,2,1,1,2,-1,1,-1,1,2,1,2,-1,2,-1,2,2,"Male","Manager or higher","Being a software engineering is a good job based on virtually any criteria, including salary, quantity of job openings, as well as overall job satisfaction. I find it a challenging yet rewarding experience and I thrive on analyzing and modifying exiting software.","I found the contents and topic of this survey to be a rewarding and interesting survey experience. 
The survey itself was very easy to read and understand and I didn't have any problems taking it. I'm glad I got the opportunity to participate in this survey today. ","Jack Henry Associates","Springfield Missouri","White","BA",3,0,0,0,1.5,1.5,0,1,11.6784483779882,9.64865981695529
"46",42,15,8,190000,1e+05,2,1,-1,-1,2,2,-1,2,1,2,2,2,-1,2,2,1,2,"Male","Manager or higher","Become a software engineer was my hobby and I'm happy to get success on that path.Its like dream comes true and I get my dream jobs.So I'm happy with that.","I enjoyed it.","Gorilla Digital","New York","White","MA or higher",3,0,1,0,0,0.5,0.5,1.66666666666667,12.1547846142867,11.5129354649202
"47",75,35,35,85000,10000,2,-2,-2,-1,2,2,-2,2,2,2,2,2,-1,1,1,1,2,"Male","Manager or higher","Every day gets better and closer to retirement","","unknown","Albany","White","BA",3,0,0,0,-2,0.5,0,1.33333333333333,11.3504183001091,9.21044036697652
"48",29,6,4,1e+05,15000,1,-1,1,1,-1,1,1,-1,1,1,1,1,-2,-1,-1,-1,1,"Male","Senior","The pay is competitive but the office politics and workload is tiresome","","unknown","San Jose","Asian","BA",2,1,0,0,0,0,1,-0.333333333333333,11.5129354649202,9.61587214452889
"49",51,1,1,40000,5000,2,1,1,1,2,1,-1,1,2,1,1,1,1,2,-1,-1,1,"Female","Manager or higher","It is a challenging yet rewarding career","Na","unknown","Deland ","Underrepresented Racial Groups","Non-BA education",3,0,-1,0,1,1.5,0,-0.333333333333333,10.5966597327836,8.5173931714189
"50",43,12,10,29999,1000,2,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,2,"Female","Manager or higher","it is very challenging and rewarding","","google","PORTSMOUTH","White","HS grad",3,0,0,0,1,1,0,1.33333333333333,10.3089526606443,6.90875477931522
"51",73,10,10,50000,20000,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"Male","Senior","I was trained for it college and it fits me real well. ","none","unknown","unknown","White","BA",2,1,0,0,1.5,1.5,1,1,10.8197982842103,9.90353755128617
"52",82,60,20,250000,3e+05,2,2,2,2,2,1,-2,2,1,1,-1,2,2,-1,2,2,-2,"Male","Manager or higher","CHALLENGING  HARD TO KEEP NUP WITH NEW TEC","INTERESTING SURVEY","US GOVEMENT","AFRICA","White","BA",3,0,-2,1,2,2,-0.5,0.666666666666667,12.4292201968364,12.6115410869661
"53",47,12,12,1e+06,10000,2,2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,1,2,2,2,"Male","Manager or higher","It's my dream job.
I love my work.","None","Google","California","White","MA or higher",3,0,0,0,0,-2,0,2,13.8155115579638,9.21044036697652
